original_video_id,OtherGestures,Smile,Laugh,Scowl,otherEyebrowMovement,Frown,Raise,OtherEyeMovements,Close-R,X-Open,Close-BE,gazeInterlocutor,gazeDown,gazeUp,gazeSide,openMouth,closeMouth,lipsDown,lipsUp,lipsRetracted,lipsProtruded,SideTurn,downR,sideTilt,otherHeadM,sideTurnR,sideTiltR,waggle,forwardHead,downRHead,singleHand,bothHands,otherHandM,complexHandM,sidewaysHand,downHands,upHands,target,transcription,Pronunciation_posteriori,Gender,Mood_from_mva,Count of Syllables,Count of filler and pauses,Rate of speech - syb per sec,Speaking time secs w/o pauses,Duration time secs w pauses,Ratio speaking to duration,Fundamental frequency_f0 Hz,SD Fundamental frequency_f0 Hz,Median Fundamental frequency_f0 Hz,Minimum Fundamental frequency_f0 Hz,Maximum Fundamental frequency_f0 Hz,25th Quantile Fundamental frequency_f0 Hz,75th Quantile Fundamental frequency_f0 Hz,Jitter - local,"Jitter - local, absolute",Jitter - rap,Jitter - ppq5,Jitter - ddp,target_dummy,Gender_dummy,pauses_per_minute,log_pauses_per_minute,diff_max_mix,diff_25_75
trial_lie_001.mp4,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,deceptive,No sir I did not. I absolutely did not. No sir I was not. No sir.,85.06,a female,Showing no emotion,52,9,3.0,11.6,17.0,0.7,164.97,59.18,155.0,73.0,396.0,118.0,196.0,0.06150749633491336,0.0002989213171298891,0.03261234028148638,0.031032157166876212,0.09783702084445917,1,0.0,2.55,1.2669476034873244,323.0,78.0
trial_lie_002.mp4,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,deceptive,"... and she approached me, and at that time that she had tripped over the rug and kind of bumped into me I was heading to the nursery, which is ammm ... I know you guys have all seen the layout, theres ahhh ... was a loveseat right there and a rocking chair right next to each other, and theres a little wall, and whenever she tripped over the rug she bumped into me and Grant approached her and grabbed her and kind of pulled her ... was pulling her back and just telling her to chill out, and she started fighting him, and whenever she did, that little wall right by the loveseat, she kicked it and whenever she did, they both went over the chair and landed on the floor, and I just went so ... I ran to the bedroom with Lily I didnt even stick around to see what happened, and when I got to the bedroom Little Grant was trying to come ... he was coming out of the door, and he asked me what that noise was and I told him that the chair fell and ... to come back into the bedroom, and ammm ... he asked where his daddy was and I told him he was picking up the chair.",100.0,a female,Showing no emotion,246,17,4.0,53.7,62.5,0.9,183.72,39.43,193.9,73.0,364.0,182.0,203.0,0.04696503680506068,0.00021224540480204368,0.02565948399243127,0.02304092608059496,0.0769784519772938,1,0.0,17.708333333333336,2.928969057394309,291.0,21.0
trial_lie_003.mp4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,deceptive,"No sir I was not, not at all.",60.0,a Male,Reading,5,0,2.0,2.1,2.4,0.9,117.08,48.0,91.1,82.0,220.0,88.0,166.0,0.04920310914856114,0.0002882879137479429,0.027463128315644018,0.024931723442650527,0.08238938494693207,1,1.0,0.0,0.0,138.0,78.0
trial_lie_005.mp4,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,deceptive,"And he told me that, ammm … he was trying to figure some stuff out, and ammm … I asked him Like what? and he will … I mean I will never forget it, he was smoking a cigarette, and he was like really calm, and he looked at me and he said What would you say if I said … if I told you Laura was dead? And I was like, you know, I was like What? And … basically he told me that, ammm … the night that Laura had come over to the house, that she had died, and that whenever I left that he just panicked and freaked out, and I got … I started freaking out, and I was asking him why he didnt call the cops [stutters] … call for help like he told me he was going to, and he told me that, ammm … he got scared that he was a black man with a dead white woman and nobody was gonna believe him that it was an accident",100.0,a female,Showing no emotion,209,16,4.0,43.1,53.4,0.8,180.14,43.52,195.6,77.0,289.0,182.0,205.0,0.051145185299723166,0.0002283696560546505,0.028416397665538287,0.024742476166807286,0.08524919299661486,1,0.0,14.24,2.7239235502585,212.0,23.0
trial_lie_007.mp4,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,deceptive,"We had some drinks at the bar, maybe one ... two. Ammm … I got onto the dance floor myself as I explained, ammm … I have been a trained dancer for some time, going to be able to dance freely is like a ... release, Im very much in my own space when I do that and so I got up, and I was dancing alone on the dance floor. He came to join the dance floor, ahhh … did not join me necessarily on the dance floor initially, and he was also ... dancing, and then ammm ... there was a time where he reached out his hand and ... as … the defense has said twirled me around and ammm ... thats it.",100.0,a female,Showing no emotion,168,15,4.0,36.2,45.3,0.8,178.25,38.82,185.2,77.0,278.0,176.0,198.0,0.06840417829015179,0.00034454826924979235,0.03634812886391304,0.03684623556502701,0.10904438659173912,1,0.0,11.325,2.5116297199287536,201.0,22.0
trial_lie_008.mp4,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,deceptive,"Ahhh ... I didnt go to the dance club as a drinking activity, and nor did I know at the time that it was a dance club until we got in there.",100.0,a Male,speaking passionately,34,1,5.0,6.9,7.3,0.9,155.74,44.38,180.2,78.0,249.0,98.0,187.0,0.07794792597998547,0.0004249882161422658,0.041939281564730806,0.0426430786885048,0.1258178446941924,1,1.0,0.12166666666666666,0.11481567442858137,171.0,89.0
trial_lie_009.mp4,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,deceptive,"Ahhh ... When we got to the hotel, I remember, ammm …  sitting, er … sitting briefly on the balcony of my room, but then that was that there was no other additional time if thats what youre asking. Besides what I … just explained, no.",89.9,a female,Showing no emotion,58,5,3.0,12.9,18.4,0.7,169.94,48.84,186.8,81.0,272.0,102.0,201.0,0.07842536525032756,0.00040744483301411236,0.041280089203934,0.042941382435513466,0.12384026761180195,1,0.0,1.5333333333333332,0.9295359586241757,191.0,99.0
trial_lie_010.mp4,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,deceptive,"I have no idea. Uh, I was at work so I was presumably doing work things.  Im s-sure it was -- nope. Im sure it was work related. Theres ... it does seem coincidental but Im sure that there was something else going on that I had to call him about. I talk to him frequently about work matters. Theres ....",90.03,a female,Showing no emotion,73,7,3.0,15.3,24.8,0.6,163.42,45.26,184.5,76.0,260.0,96.0,192.0,0.07635031015940537,0.0003651725879209584,0.04200292499176583,0.04205027789850476,0.12600877497529747,1,0.0,2.8933333333333335,1.3592656887319714,184.0,96.0
trial_lie_011.mp4,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,deceptive,"Uh, I had just been on a cruise with my husband. We hadnt been on a vacation for years, alone, without the children. (pause, clears throat) I had a project I needed to complete, and Hemy insisted it had to be completed that ... day, and so the only way in which to -- and it required his input, and the only way in which to finish it was to work on it that night",80.34,a female,Reading,89,9,3.0,16.1,33.7,0.5,200.59,40.27,198.3,81.0,382.0,186.0,220.0,0.08054051396893225,0.00035381417936321903,0.04318428951620221,0.04567274022431584,0.12955286854860665,1,0.0,5.055000000000001,1.8008843770050558,301.0,34.0
trial_lie_012.mp4,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,deceptive,"I dont know, maybe ten ... nine thirty, ten, something along those lines. Might even have been slightly later.",100.0,a female,Showing no emotion,29,1,4.0,5.6,7.8,0.7,188.51,30.16,195.5,89.0,265.0,183.0,206.0,0.06520753413319384,0.00030695245712310644,0.0355359798355206,0.037150315476551767,0.1066079395065618,1,0.0,0.13,0.12221763272424911,176.0,23.0
